frequency,variable,count,experiments
Monthly,runoff flux,5,"piControl, rcp45, rcp60, rcp26, 1pctCO2, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp85, amip"
Monthly,air pressure at sea level,54,"amip, rcp60, midHolocene, rcp26, 1pctCO2, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, piControl, decadal"
Monthly,tendency of specific humidity,5,"rcp45, historical"
Monthly,northward sea ice velocity,1,"historicalGHG, historicalNat, historical, decadal"
Monthly,lagrangian tendency of air pressure,2,piControl
Monthly,surface downwelling longwave flux in air assuming clear sky,14,"amip, decadal, rcp60, midHolocene, lgm, rcp26, amipFuture, piControl, amip4K, historicalMisc, historicalNat, rcp85, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2, abrupt4xCO2"
Monthly,northward ocean heat transport due to gyre,1,"1pctCO2, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Monthly,surface downward northward stress,7,"amip, rcp26, rcp85, historicalMisc, historicalNat, historical, historicalGHG, rcp45, piControl"
Monthly,moisture content of soil layer,6,"rcp45, rcp26, historical, rcp85"
Monthly,mass fraction of cloud liquid water in air,1,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
Monthly,surface downwelling longwave flux in air,22,"amip, decadal, rcp45, rcp60, midHolocene, lgm, rcp26, esmrcp85, amip4K, historicalExt, historicalMisc, historicalNat, amipFuture, historical, 1pctCO2, esmHistorical, historicalGHG, amip4xCO2, rcp85, piControl, abrupt4xCO2"
Monthly,convective precipitation flux,5,"amip, rcp45, rcp26, historical, rcp85"
Monthly,sea water potential density,7,"1pctCO2, rcp60, abrupt4xCO2, piControl, historicalNat, rcp85, historical, historicalGHG, rcp45, amip, decadal"
Monthly,upwelling longwave flux in air,1,historical
Monthly,toa incoming shortwave flux,23,"sstClimAerosol, rcp60, sstClim4xCO2, rcp26, sstClimSulfate, amip4xCO2, rcp45, 1pctCO2, aqua4xCO2, rcp85, abrupt4xCO2, historicalExt, historicalGHG, decadal, midHolocene, lgm, amip4K, historicalNat, amipFuture, piControl, sstClim, aqua4K, historicalMisc, aquaControl, historical, amip"
Monthly,surface net downward longwave flux,17,"amip, decadal, rcp60, rcp26, piControl, rcp85, historical, 1pctCO2, esmHistorical, rcp45, esmrcp85, abrupt4xCO2"
Monthly,surface downwelling shortwave flux in air assuming clear sky,17,"1pctCO2, decadal, sstClim, rcp60, midHolocene, lgm, rcp26, sstClim4xCO2, sstClimAerosol, amipFuture, amip, amip4K, rcp85, historical, sstClimSulfate, amip4xCO2, rcp45, piControl, abrupt4xCO2"
Monthly,sea surface temperature,108,"sstClimAerosol, rcp60, sstClim4xCO2, rcp26, amip4xCO2, rcp45, esmrcp85, aqua4xCO2, rcp85, abrupt4xCO2, esmHistorical, historicalGHG, decadal, 1pctCO2, midHolocene, lgm, historicalExt, historicalNat, piControl, esmControl, sstClim, esmFdbk1, esmFixClim1, historicalMisc, aquaControl, historical, amip"
Monthly,sea surface salinity,15,"1pctCO2, decadal, rcp60, esmFdbk1, amip, esmFixClim1, rcp26, piControl, historicalExt, historicalMisc, historicalNat, rcp85, historical, esmHistorical, historicalGHG, rcp45, esmrcp85, abrupt4xCO2"
Monthly,plant respiration carbon flux,1,historical
Monthly,surface upwelling shortwave flux in air,27,"sstClimAerosol, rcp60, amipFuture, sstClimSulfate, amip4xCO2, rcp45, 1pctCO2, esmrcp85, abrupt4xCO2, esmHistorical, historicalGHG, decadal, midHolocene, lgm, amip4K, rcp26, piControl, sstClim, historicalMisc, rcp85, historical, amip"
Monthly,land ice area fraction,4,"amip, piControl, rcp60, midHolocene, lgm, rcp26, rcp85, abrupt4xCO2, historical, rcp45, 1pctCO2"
Monthly,global average thermosteric sea level change,2,"piControl, rcp85, abrupt4xCO2, historical, rcp45, 1pctCO2"
Monthly,surface downward x stress,7,"piControl, rcp45, 1pctCO2, historical, rcp85"
Monthly,large scale rainfall flux,2,"midHolocene, lgm, rcp26, rcp85, abrupt4xCO2, historical, rcp45, 1pctCO2"
Monthly,toa outgoing longwave flux,35,"sstClimAerosol, rcp60, sstClim4xCO2, rcp26, sstClimSulfate, amip4xCO2, rcp45, 1pctCO2, aqua4xCO2, rcp85, abrupt4xCO2, historicalExt, historicalGHG, decadal, midHolocene, lgm, amip4K, historicalNat, amipFuture, piControl, sstClim, aqua4K, historicalMisc, aquaControl, historical, amip"
Monthly,northward ocean heat transport,7,"1pctCO2, rcp60, abrupt4xCO2, rcp26, piControl, historicalMisc, historicalNat, rcp85, historical, historicalGHG, rcp45, amip, decadal"
Monthly,vegetation carbon content,3,"rcp45, rcp60, rcp26, rcp85"
Monthly,snowfall flux,6,"rcp45, rcp60, rcp26, historical, rcp85"
Monthly,soil frozen water content,1,"historical, rcp85"
Monthly,surface snow area fraction,5,"rcp60, rcp26, rcp85, historicalNat, historical, rcp45, piControl"
Monthly,sea water y velocity,10,"rcp26, piControl, historicalNat, rcp85, historical, esmHistorical, historicalGHG, rcp45, esmrcp85, esmControl, decadal"
Monthly,sea ice x velocity,2,"rcp26, rcp45, piControl, historical, rcp85"
Monthly,gross primary productivity of carbon,2,"rcp45, historical, rcp85"
Monthly,surface upwelling shortwave flux in air assuming clear sky,17,"decadal, sstClim, rcp45, rcp60, midHolocene, lgm, rcp26, sstClim4xCO2, sstClimAerosol, amipFuture, piControl, amip4K, rcp85, historical, sstClimSulfate, amip4xCO2, amip, 1pctCO2, abrupt4xCO2"
Monthly,mole fraction of ozone in air,2,"rcp60, rcp26, rcp85, historical, rcp45, 1pctCO2"
